OTU,P1-V1,P1-V2,P2-V2,P3-V1,P3-V2,P4-V1,P4-V2,P5-V1,P5-V2,P6-V1,P6-V2,P7-V1,P7-V2,P8-V1,P8-V2,P9-V1,P9-V2,P10-V1,P10-V2,P11-V1,P11-V2,P12-V1,P12-V2,P14-V1,P14-V2,P15-V2,P16-V1,P16-V2,P18-V1,P18-V2,P19-V1,P19-V2,P20-V2,P21-V1,P21-V2,P22-V2,P23-V1,P23-V2,P24-V1,P24-V2,P25-V1,P25-V2,P26-V1,P26-V2,P27-V1,P27-V2,P28-V1,P28-V2,P29-V1,P29-V2,P30-V1,P30-V2,P31-V1,P31-V2,P32-V1,P32-V2,Tra1-V1,Tra2-V1,Tra3-V1,Tra4-V1,Tra5-V1,Tra6-V1,Tra7-V1,Tra8-V1,Tra9-V1,Tra10-V1,Tra11-V1,Tra12-V1,Tra13-V1,Tra14-V1,Tra15-V1,Tra17-V1,Tra18-V1,Tra20-V1,Tra21-V1,Tra22-V1,Tra23-V1,Tra24-V1,Tra25-V1,Tra26-V1,Tra27-V1,Tra28-V1,Tra29-V1,Tra30-V1,Tra31-V1
823e7640f1bdfeb3a62c17828a7e9da9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52d55433edab8b72108f46c1e4df383d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
806c95d59cec74ad4507641691e33b3b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
492f7b5e2a555295ad46b0d5d84db578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3a5bd67360d348f955dd6fb14b270adc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27dfadf7cc9759adf6188767bb287996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d388eea9d3f892da48bfa423d716f59e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79bd82c0749caf3b9759eb43b61b20c4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6f9217f119cb0cbdb193740484414818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268bca41fecd3f2b306ccaceea9e59c8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
