id,taxon,type,value
252,02g__unknown_Saccharomycetales,mpre,-0.116779089
253,03g__unknown_Fungi,mpre,4.913658832
254,04s__Candida_albicans,mpre,-0.08778566
255,05s__unknown_Saccharomycetales,mpre,-0.08778566
256,05s__unknown_Fungi,mpre,4.942652261
257,06ASV_2_Candida_albicans,mpre,-0.032241475
258,07ASV_5_unknown_Saccharomycetales,mpre,-0.032241475
259,08ASV_4_unknown_Fungi,mpre,4.337206377
260,09ASV_8_unknown_Fungi,mpre,-0.032241475
261,01g__Candida,mpost,-0.07842303
262,02g__unknown_Saccharomycetales,mpost,-0.07842303
263,03g__unknown_Fungi,mpost,5.173850398
264,04s__Candida_albicans,mpost,-0.058952485
265,05s__unknown_Saccharomycetales,mpost,-0.058952485
266,05s__unknown_Fungi,mpost,5.193320943
267,06ASV_2_Candida_albicans,mpost,-0.009793607
268,07ASV_5_unknown_Saccharomycetales,mpost,-0.009793607
269,08ASV_4_unknown_Fungi,mpost,1.599644305
270,09ASV_8_unknown_Fungi,mpost,-0.009793607
271,01g__Candida,mpre,-0.075624032
272,02g__unknown_Saccharomycetales,mpre,-0.075624032
273,03g__unknown_Fungi,mpre,5.122872999
274,04s__Candida_albicans,mpre,-0.05684841
275,05s__unknown_Saccharomycetales,mpre,-0.05684841
276,05s__unknown_Fungi,mpre,5.141648621
277,06ASV_2_Candida_albicans,mpre,-0.00796427
278,07ASV_5_unknown_Saccharomycetales,mpre,-0.00796427
279,08ASV_4_unknown_Fungi,mpre,5.190532761
280,09ASV_8_unknown_Fungi,mpre,-0.00796427
281,01g__Candida,mpost,-0.090786306
282,02g__unknown_Saccharomycetales,mpost,1.518651606
283,03g__unknown_Fungi,mpost,5.150960709
284,04s__Candida_albicans,mpost,-0.068246258
285,05s__unknown_Saccharomycetales,mpost,1.541191655
286,05s__unknown_Fungi,mpost,5.173500757
287,06ASV_2_Candida_albicans,mpost,-0.021644196
288,07ASV_5_unknown_Saccharomycetales,mpost,1.587793716
289,08ASV_4_unknown_Fungi,mpost,-0.021644196
290,09ASV_8_unknown_Fungi,mpost,-0.021644196
291,01g__Candida,mpre,-0.058641441
292,02g__unknown_Saccharomycetales,mpre,1.039970847
293,03g__unknown_Fungi,mpre,5.234663383
294,04s__Candida_albicans,mpre,-0.044082187
295,05s__unknown_Saccharomycetales,mpre,1.054530102
296,05s__unknown_Fungi,mpre,5.249222638
297,06ASV_2_Candida_albicans,mpre,-0.006175765
298,07ASV_5_unknown_Saccharomycetales,mpre,1.092436523
299,08ASV_4_unknown_Fungi,mpre,5.287129059
300,09ASV_8_unknown_Fungi,mpre,-0.006175765
301,01g__Candida,mpre,-0.048654173
302,02g__unknown_Saccharomycetales,mpre,-0.048654173
303,03g__unknown_Fungi,mpre,5.254650735
304,04s__Candida_albicans,mpre,-0.036574517
305,05s__unknown_Saccharomycetales,mpre,-0.036574517
306,05s__unknown_Fungi,mpre,5.266730391
307,06ASV_2_Candida_albicans,mpre,-0.011107279
308,07ASV_5_unknown_Saccharomycetales,mpre,-0.011107279
309,08ASV_4_unknown_Fungi,mpre,5.130556278
310,09ASV_8_unknown_Fungi,mpre,-0.011107279
311,01g__Candida,mpost,1.853556948
312,02g__unknown_Saccharomycetales,mpost,5.083796532
313,03g__unknown_Fungi,mpost,2.852085779
314,04s__Candida_albicans,mpost,1.876486019
315,05s__unknown_Saccharomycetales,mpost,5.106725602
316,05s__unknown_Fungi,mpost,2.875014849
317,06ASV_2_Candida_albicans,mpost,1.931397386
318,07ASV_5_unknown_Saccharomycetales,mpost,5.079237437
319,08ASV_4_unknown_Fungi,mpost,-0.014512763
320,09ASV_8_unknown_Fungi,mpost,-0.014512763
321,01g__Candida,mpre,-0.048654173
322,02g__unknown_Saccharomycetales,mpre,-0.048654173
323,03g__unknown_Fungi,mpre,5.254650735
324,04s__Candida_albicans,mpre,-0.036574517
325,05s__unknown_Saccharomycetales,mpre,-0.036574517
326,05s__unknown_Fungi,mpre,5.266730391
327,06ASV_2_Candida_albicans,mpre,-0.009726086
328,07ASV_5_unknown_Saccharomycetales,mpre,-0.009726086
329,08ASV_4_unknown_Fungi,mpre,5.166423647
330,09ASV_8_unknown_Fungi,mpre,-0.009726086
331,01g__Candida,mpost,-0.141055688
332,02g__unknown_Saccharomycetales,mpost,2.05616889
333,03g__unknown_Fungi,mpost,3.154781178
334,04s__Candida_albicans,mpost,-0.106034965
335,05s__unknown_Saccharomycetales,mpost,2.091189612
336,05s__unknown_Fungi,mpost,3.189801901
337,06ASV_2_Candida_albicans,mpost,-0.020189218
338,07ASV_5_unknown_Saccharomycetales,mpost,2.177035359
339,08ASV_4_unknown_Fungi,mpost,-0.020189218
340,09ASV_8_unknown_Fungi,mpost,-0.020189218
341,01g__Candida,mpre,-0.091582842
342,02g__unknown_Saccharomycetales,mpre,-0.091582842
343,03g__unknown_Fungi,mpre,5.128772983
344,04s__Candida_albicans,mpre,-0.068845033
345,05s__unknown_Saccharomycetales,mpre,-0.068845033
346,05s__unknown_Fungi,mpre,5.151510792
347,06ASV_2_Candida_albicans,mpre,-0.020941752
348,07ASV_5_unknown_Saccharomycetales,mpre,-0.020941752
349,08ASV_4_unknown_Fungi,mpre,4.854255571
350,09ASV_8_unknown_Fungi,mpre,-0.020941752
351,01g__Candida,mpost,-0.138539943
352,02g__unknown_Saccharomycetales,mpost,2.805899036
353,03g__unknown_Fungi,mpost,4.151919498
354,04s__Candida_albicans,mpost,-0.10414382
355,05s__unknown_Saccharomycetales,mpost,2.84029516
356,05s__unknown_Fungi,mpost,4.186315622
357,06ASV_2_Candida_albicans,mpost,-0.016658672
358,07ASV_5_unknown_Saccharomycetales,mpost,2.927780307
359,08ASV_4_unknown_Fungi,mpost,4.217447833
360,09ASV_8_unknown_Fungi,mpost,-0.016658672
361,01g__Candida,mpre,-0.07621296
362,02g__unknown_Saccharomycetales,mpre,-0.07621296
363,03g__unknown_Fungi,mpre,5.186477229
364,04s__Candida_albicans,mpre,-0.057291122
365,05s__unknown_Saccharomycetales,mpre,-0.057291122
366,05s__unknown_Fungi,mpre,5.205399067
367,06ASV_2_Candida_albicans,mpre,-0.010926957
368,07ASV_5_unknown_Saccharomycetales,mpre,-0.010926957
369,08ASV_4_unknown_Fungi,mpre,5.209428868
370,09ASV_8_unknown_Fungi,mpre,-0.010926957
371,01g__Candida,mpost,-0.076356697
372,02g__unknown_Saccharomycetales,mpost,5.111029108
373,03g__unknown_Fungi,mpost,3.059137518
374,04s__Candida_albicans,mpost,-0.057399173
375,05s__unknown_Saccharomycetales,mpost,5.129986633
376,05s__unknown_Fungi,mpost,3.078095043
377,06ASV_2_Candida_albicans,mpost,-0.01269293
378,07ASV_5_unknown_Saccharomycetales,mpost,5.174692875
379,08ASV_4_unknown_Fungi,mpost,1.085919358
380,09ASV_8_unknown_Fungi,mpost,-0.01269293
381,01g__Candida,mpre,-0.083115906
382,02g__unknown_Saccharomycetales,mpre,-0.083115906
383,03g__unknown_Fungi,mpre,4.027757958
384,04s__Candida_albicans,mpre,-0.062480233
385,05s__unknown_Saccharomycetales,mpre,-0.062480233
386,05s__unknown_Fungi,mpre,4.048393631
387,06ASV_2_Candida_albicans,mpre,-0.010533336
388,07ASV_5_unknown_Saccharomycetales,mpre,-0.010533336
389,08ASV_4_unknown_Fungi,mpre,3.996799849
390,09ASV_8_unknown_Fungi,mpre,-0.010533336
391,01g__Candida,mpost,-0.090652189
392,02g__unknown_Saccharomycetales,mpost,3.622919878
393,03g__unknown_Fungi,mpost,4.978252014
394,04s__Candida_albicans,mpost,-0.068145438
395,05s__unknown_Saccharomycetales,mpost,3.645426628
396,05s__unknown_Fungi,mpost,5.000758764
397,06ASV_2_Candida_albicans,mpost,-0.010596176
398,07ASV_5_unknown_Saccharomycetales,mpost,3.70297589
399,08ASV_4_unknown_Fungi,mpost,1.088016112
400,09ASV_8_unknown_Fungi,mpost,-0.010596176
401,01g__Candida,mpre,-0.07322064
402,02g__unknown_Saccharomycetales,mpre,1.536217272
403,03g__unknown_Fungi,mpre,5.199778919
404,04s__Candida_albicans,mpre,-0.055041722
405,05s__unknown_Saccharomycetales,mpre,1.55439619
406,05s__unknown_Fungi,mpre,5.217957836
407,06ASV_2_Candida_albicans,mpre,-0.00876266
408,07ASV_5_unknown_Saccharomycetales,mpre,1.600675253
409,08ASV_4_unknown_Fungi,mpre,5.253927529
410,09ASV_8_unknown_Fungi,mpre,-0.00876266
411,01g__Candida,mpost,-0.084384992
412,02g__unknown_Saccharomycetales,mpost,4.694738501
413,03g__unknown_Fungi,mpost,4.334455616
414,04s__Candida_albicans,mpost,-0.063434235
415,05s__unknown_Saccharomycetales,mpost,4.715689258
416,05s__unknown_Fungi,mpost,4.355406373
417,06ASV_2_Candida_albicans,mpost,-0.019710904
418,07ASV_5_unknown_Saccharomycetales,mpost,3.115783312
419,08ASV_4_unknown_Fungi,mpost,3.276125962
420,09ASV_8_unknown_Fungi,mpost,-0.019710904
421,01g__Candida,mpre,-0.119437628
422,02g__unknown_Saccharomycetales,mpre,-0.119437628
423,03g__unknown_Fungi,mpre,4.785837151
424,04s__Candida_albicans,mpre,-0.089784148
425,05s__unknown_Saccharomycetales,mpre,-0.089784148
426,05s__unknown_Fungi,mpre,4.815490631
427,06ASV_2_Candida_albicans,mpre,-0.016806465
428,07ASV_5_unknown_Saccharomycetales,mpre,-0.016806465
429,08ASV_4_unknown_Fungi,mpre,4.710581354
430,09ASV_8_unknown_Fungi,mpre,-0.016806465
431,01g__Candida,mpost,-0.093378664
432,02g__unknown_Saccharomycetales,mpost,4.081008606
433,03g__unknown_Fungi,mpost,1.005233625
434,04s__Candida_albicans,mpost,-0.070194995
435,05s__unknown_Saccharomycetales,mpost,4.104192274
436,05s__unknown_Fungi,mpost,1.028417293
437,06ASV_2_Candida_albicans,mpost,-0.009834081
438,07ASV_5_unknown_Saccharomycetales,mpost,4.164553188
439,08ASV_4_unknown_Fungi,mpost,-0.009834081
440,09ASV_8_unknown_Fungi,mpost,-0.009834081
441,01g__Candida,mpre,-0.089369383
442,02g__unknown_Saccharomycetales,mpre,-0.089369383
443,03g__unknown_Fungi,mpre,5.098016423
444,04s__Candida_albicans,mpre,-0.067181122
445,05s__unknown_Saccharomycetales,mpre,-0.067181122
446,05s__unknown_Fungi,mpre,5.120204684
447,06ASV_2_Candida_albicans,mpre,-0.01199538
448,07ASV_5_unknown_Saccharomycetales,mpre,-0.01199538
449,08ASV_4_unknown_Fungi,mpre,5.141296214
450,09ASV_8_unknown_Fungi,mpre,-0.01199538
